Review_ID,Text,Label
1,"This product is amazing and works perfectly.",positive
2,"Very disappointing. It broke after two days.",negative
3,"Great quality, totally worth the price.",positive
4,"Not recommended. Poor performance.",negative
5,"Excellent build and reliable in use.",positive
6,"Waste of money. Will not buy again.",negative
7,"Highly recommended! Love it so much.",positive
8,"Terrible experience, arrived damaged.",negative
9,"Satisfied with the product. Meets my expectations.",positive
10,"Worst purchase ever. Nothing works.",negative
